Alba 2020;Tramonto 2020;Alba 2021;Tramonto 2021;Alba 2022;Tramonto 2022
07:07:06;17:42:41;07:05:52;17:43:46;07:06:16;17:43:25
07:05:29;17:44:07;07:04:15;17:45:11;07:04:38;17:44:51
07:03:51;17:45:32;07:02:36;17:46:37;07:03:00;17:46:16
07:02:12;17:46:57;07:00:56;17:48:02;07:01:20;17:47:41
07:00:32;17:48:22;06:59:15;17:49:26;06:59:40;17:49:06
06:58:51;17:49:47;06:57:33;17:50:51;06:57:58;17:50:30
06:57:09;17:51:11;06:55:51;17:52:15;06:56:16;17:51:55
06:55:26;17:52:36;06:54:07;17:53:39;06:54:32;17:53:19
06:53:42;17:53:59;06:52:23;17:55:03;06:52:48;17:54:42
06:51:58;17:55:23;06:50:38;17:56:26;06:51:03;17:56:06
06:50:12;17:56:46;06:48:52;17:57:49;06:49:18;17:57:29
06:48:26;17:58:09;06:47:05;17:59:12;06:47:31;17:58:52
06:46:40;17:59:32;06:45:18;18:00:34;06:45:44;18:00:14
06:44:52;18:00:54;06:43:30;18:01:57;06:43:56;18:01:37
06:43:04;18:02:16;06:41:42;18:03:18;06:42:08;18:02:59
06:41:15;18:03:38;06:39:53;18:04:40;06:40:19;18:04:20
06:39:26;18:05:00;06:38:03;18:06:02;06:38:29;18:05:42
06:37:36;18:06:21;06:36:13;18:07:23;06:36:39;18:07:03
06:35:46;18:07:42;06:34:22;18:08:44;06:34:49;18:08:24
06:33:55;18:09:03;06:32:31;18:10:04;06:32:58;18:09:45
06:32:04;18:10:24;06:30:39;18:11:25;06:31:06;18:11:05
06:30:12;18:11:44;06:28:47;18:12:45;06:29:15;18:12:25
06:28:20;18:13:04;06:26:55;18:14:05;06:27:22;18:13:45
06:26:28;18:14:24;06:25:03;18:15:25;06:25:30;18:15:05
06:24:35;18:15:44;06:23:10;18:16:44;06:23:37;18:16:25
06:22:42;18:17:03;06:21:17;18:18:03;06:21:44;18:17:44
06:20:49;18:18:23;06:19:23;18:19:23;06:19:51;18:19:03
06:18:56;18:19:42;06:17:30;18:20:42;06:17:57;18:20:22
06:17:02;18:21:01;06:15:36;18:22:00;06:16:03;18:21:41
06:15:08;18:22:20;06:13:42;18:23:19;06:14:10;18:23:00
06:13:14;18:23:38;06:11:48;18:24:38;06:12:16;18:24:19
06:11:20;18:24:57;06:09:54;18:25:56;06:10:22;18:25:37
06:09:26;18:26:15;06:08:00;18:27:14;06:08:28;18:26:55
06:07:32;18:27:33;06:06:06;18:28:32;06:06:33;18:28:14
06:05:38;18:28:51;06:04:12;18:29:51;06:04:39;18:29:32
06:03:44;18:30:09;06:02:18;18:31:08;06:02:45;18:30:50
06:01:50;18:31:27;06:00:24;18:32:26;07:00:51;19:32:07
05:59:56;18:32:45;06:58:30;19:33:44;06:58:58;19:33:25
05:58:03;18:34:03;06:56:36;19:35:02;06:57:04;19:34:43
06:56:09;19:35:21;06:54:43;19:36:19;06:55:10;19:36:01
06:54:15;19:36:38;06:52:50;19:37:37;06:53:17;19:37:18
06:52:22;19:37:56;06:50:57;19:38:55;06:51:24;19:38:36
06:50:29;19:39:13;06:49:04;19:40:12;06:49:31;19:39:53
06:48:37;19:40:31;06:47:11;19:41:29;06:47:39;19:41:11
06:46:44;19:41:48;06:45:19;19:42:47;06:45:46;19:42:28
06:44:52;19:43:06;06:43:27;19:44:04;06:43:54;19:43:46
06:43:00;19:44:23;06:41:36;19:45:22;06:42:03;19:45:03
06:41:09;19:45:40;06:39:45;19:46:39;06:40:12;19:46:20
06:39:18;19:46:58;06:37:55;19:47:56;06:38:21;19:47:38
06:37:28;19:48:15;06:36:05;19:49:14;06:36:31;19:48:55
06:35:38;19:49:32;06:34:15;19:50:31;06:34:42;19:50:12
06:33:49;19:50:50;06:32:26;19:51:48;06:32:52;19:51:30
06:32:00;19:52:07;06:30:38;19:53:06;06:31:04;19:52:47
06:30:12;19:53:24;06:28:50;19:54:23;06:29:16;19:54:04
06:28:24;19:54:42;06:27:03;19:55:40;06:27:29;19:55:22
06:26:37;19:55:59;06:25:17;19:56:58;06:25:42;19:56:39
06:24:51;19:57:16;06:23:31;19:58:15;06:23:56;19:57:56
06:23:05;19:58:34;06:21:46;19:59:32;06:22:11;19:59:14
06:21:21;19:59:51;06:20:02;20:00:50;06:20:27;20:00:31
06:19:37;20:01:08;06:18:18;20:02:07;06:18:43;20:01:48
06:17:54;20:02:25;06:16:36;20:03:24;06:17:01;20:03:05
06:16:11;20:03:43;06:14:54;20:04:41;06:15:19;20:04:22
06:14:30;20:05:00;06:13:14;20:05:58;06:13:38;20:05:40
06:12:49;20:06:17;06:11:34;20:07:15;06:11:58;20:06:57
06:11:10;20:07:34;06:09:55;20:08:32;06:10:19;20:08:14
06:09:32;20:08:51;06:08:18;20:09:49;06:08:41;20:09:31
06:07:54;20:10:08;06:06:41;20:11:06;06:07:04;20:10:47
06:06:18;20:11:24;06:05:06;20:12:23;06:05:29;20:12:04
06:04:43;20:12:41;06:03:31;20:13:39;06:03:54;20:13:21
06:03:08;20:13:57;06:01:58;20:14:55;06:02:20;20:14:37
06:01:35;20:15:14;06:00:26;20:16:12;06:00:48;20:15:53
06:00:04;20:16:30;05:58:55;20:17:27;05:59:17;20:17:09
05:58:33;20:17:46;05:57:26;20:18:43;05:57:47;20:18:25
05:57:04;20:19:01;05:55:58;20:19:59;05:56:19;20:19:40
05:55:36;20:20:17;05:54:31;20:21:14;05:54:52;20:20:56
05:54:10;20:21:32;05:53:05;20:22:29;05:53:26;20:22:11
05:52:45;20:22:47;05:51:41;20:23:43;05:52:02;20:23:25
05:51:21;20:24:01;05:50:19;20:24:58;05:50:39;20:24:40
05:49:59;20:25:15;05:48:58;20:26:11;05:49:17;20:25:54
05:48:38;20:26:29;05:47:38;20:27:25;05:47:57;20:27:07
05:47:19;20:27:42;05:46:20;20:28:38;05:46:39;20:28:20
05:46:02;20:28:55;05:45:04;20:29:50;05:45:23;20:29:33
05:44:46;20:30:08;05:43:49;20:31:02;05:44:07;20:30:45
05:43:32;20:31:19;05:42:37;20:32:13;05:42:54;20:31:56
05:42:19;20:32:31;05:41:25;20:33:24;05:41:42;20:33:07
05:41:08;20:33:41;05:40:16;20:34:34;05:40:33;20:34:17
05:39:59;20:34:51;05:39:08;20:35:44;05:39:24;20:35:27
05:38:52;20:36:00;05:38:02;20:36:52;05:38:18;20:36:36
05:37:47;20:37:09;05:36:58;20:38:00;05:37:14;20:37:44
05:36:43;20:38:16;05:35:56;20:39:07;05:36:11;20:38:51
05:35:41;20:39:23;05:34:56;20:40:13;05:35:11;20:39:58
05:34:42;20:40:29;05:33:58;20:41:19;05:34:12;20:41:03
05:33:44;20:41:34;05:33:02;20:42:23;05:33:15;20:42:07
05:32:48;20:42:38;05:32:08;20:43:26;05:32:21;20:43:11
05:31:55;20:43:41;05:31:15;20:44:28;05:31:28;20:44:13
05:31:03;20:44:43;05:30:25;20:45:29;05:30:37;20:45:15
05:30:13;20:45:44;05:29:37;20:46:29;05:29:49;20:46:15
05:29:26;20:46:43;05:28:52;20:47:28;05:29:03;20:47:14
05:28:41;20:47:42;05:28:08;20:48:25;05:28:19;20:48:12
05:27:58;20:48:39;05:27:27;20:49:21;05:27:37;20:49:08
05:27:17;20:49:35;05:26:48;20:50:16;05:26:57;20:50:03
05:26:38;20:50:29;05:26:11;20:51:09;05:26:19;20:50:57
05:26:02;20:51:22;05:25:36;20:52:01;05:25:44;20:51:49
05:25:28;20:52:13;05:25:04;20:52:51;05:25:11;20:52:39
05:24:56;20:53:03;05:24:33;20:53:40;05:24:41;20:53:28
05:24:26;20:53:51;05:24:06;20:54:27;05:24:12;20:54:16
05:23:59;20:54:38;05:23:40;20:55:12;05:23:46;20:55:02
05:23:34;20:55:23;05:23:17;20:55:56;05:23:23;20:55:46
05:23:12;20:56:06;05:22:56;20:56:38;05:23:01;20:56:28
05:22:51;20:56:48;05:22:38;20:57:18;05:22:42;20:57:08
05:22:34;20:57:27;05:22:22;20:57:56;05:22:26;20:57:47
05:22:18;20:58:05;05:22:08;20:58:32;05:22:11;20:58:24
05:22:05;20:58:41;05:21:57;20:59:07;05:21:59;20:58:59
05:21:54;20:59:14;05:21:48;20:59:39;05:21:50;20:59:31
05:21:46;20:59:46;05:21:41;21:00:09;05:21:43;21:00:02
05:21:40;21:00:16;05:21:37;21:00:37;05:21:38;21:00:31
05:21:36;21:00:44;05:21:35;21:01:03;05:21:36;21:00:57
05:21:35;21:01:09;05:21:36;21:01:27;05:21:35;21:01:22
05:21:36;21:01:33;05:21:38;21:01:49;05:21:38;21:01:44
05:21:39;21:01:54;05:21:44;21:02:08;05:21:42;21:02:04
05:21:45;21:02:13;05:21:51;21:02:26;05:21:49;21:02:22
05:21:53;21:02:29;05:22:01;21:02:41;05:21:58;21:02:37
05:22:03;21:02:44;05:22:13;21:02:53;05:22:10;21:02:51
05:22:16;21:02:56;05:22:27;21:03:04;05:22:23;21:03:02
05:22:30;21:03:06;05:22:43;21:03:12;05:22:39;21:03:10
05:22:47;21:03:13;05:23:02;21:03:18;05:22:57;21:03:16
05:23:06;21:03:18;05:23:23;21:03:21;05:23:17;21:03:20
05:23:28;21:03:21;05:23:45;21:03:22;05:23:40;21:03:22
05:23:51;21:03:22;05:24:10;21:03:20;05:24:04;21:03:21
05:24:16;21:03:20;05:24:37;21:03:17;05:24:31;21:03:18
05:24:44;21:03:15;05:25:06;21:03:10;05:24:59;21:03:12
05:25:13;21:03:08;05:25:37;21:03:02;05:25:30;21:03:04
05:25:45;21:02:59;05:26:10;21:02:51;05:26:02;21:02:53
05:26:18;21:02:47;05:26:45;21:02:37;05:26:37;21:02:41
05:26:54;21:02:33;05:27:22;21:02:21;05:27:13;21:02:25
05:27:31;21:02:17;05:28:00;21:02:03;05:27:51;21:02:08
05:28:10;21:01:58;05:28:40;21:01:42;05:28:31;21:01:47
05:28:50;21:01:37;05:29:22;21:01:19;05:29:12;21:01:25
05:29:33;21:01:13;05:30:06;21:00:54;05:29:55;21:01:00
05:30:17;21:00:47;05:30:51;21:00:26;05:30:40;21:00:33
05:31:02;21:00:19;05:31:38;20:59:56;05:31:27;21:00:03
05:31:49;20:59:48;05:32:26;20:59:23;05:32:15;20:59:31
05:32:38;20:59:15;05:33:16;20:58:48;05:33:04;20:58:57
05:33:28;20:58:39;05:34:07;20:58:11;05:33:55;20:58:20
05:34:20;20:58:02;05:35:00;20:57:32;05:34:47;20:57:41
05:35:12;20:57:22;05:35:54;20:56:50;05:35:41;20:57:00
05:36:07;20:56:39;05:36:49;20:56:06;05:36:35;20:56:17
05:37:02;20:55:55;05:37:45;20:55:20;05:37:32;20:55:31
05:37:59;20:55:08;05:38:43;20:54:32;05:38:29;20:54:44
05:38:56;20:54:20;05:39:41;20:53:41;05:39:27;20:53:54
05:39:55;20:53:29;05:40:41;20:52:49;05:40:26;20:53:02
05:40:55;20:52:36;05:41:41;20:51:54;05:41:27;20:52:08
05:41:56;20:51:41;05:42:43;20:50:58;05:42:28;20:51:12
05:42:58;20:50:44;05:43:46;20:49:59;05:43:31;20:50:14
05:44:01;20:49:45;05:44:49;20:48:58;05:44:34;20:49:13
05:45:04;20:48:43;05:45:53;20:47:56;05:45:38;20:48:11
05:46:09;20:47:40;05:46:58;20:46:51;05:46:42;20:47:07
05:47:14;20:46:35;05:48:04;20:45:45;05:47:48;20:46:01
05:48:20;20:45:28;05:49:10;20:44:37;05:48:54;20:44:53
05:49:26;20:44:20;05:50:17;20:43:27;05:50:01;20:43:44
05:50:33;20:43:09;05:51:25;20:42:15;05:51:09;20:42:32
05:51:41;20:41:57;05:52:33;20:41:01;05:52:17;20:41:19
05:52:49;20:40:43;05:53:42;20:39:46;05:53:25;20:40:04
05:53:58;20:39:27;05:54:51;20:38:29;05:54:34;20:38:48
05:55:07;20:38:10;05:56:00;20:37:10;05:55:44;20:37:30
05:56:17;20:36:51;05:57:10;20:35:50;05:56:54;20:36:10
05:57:27;20:35:30;05:58:21;20:34:28;05:58:04;20:34:48
05:58:38;20:34:08;05:59:32;20:33:05;05:59:15;20:33:25
05:59:49;20:32:45;06:00:43;20:31:40;06:00:26;20:32:01
06:01:00;20:31:20;06:01:54;20:30:14;06:01:37;20:30:35
06:02:11;20:29:53;06:03:06;20:28:46;06:02:48;20:29:08
06:03:23;20:28:25;06:04:17;20:27:18;06:04:00;20:27:39
06:04:35;20:26:56;06:05:29;20:25:47;06:05:12;20:26:09
06:05:47;20:25:25;06:06:42;20:24:16;06:06:24;20:24:38
06:06:59;20:23:53;06:07:54;20:22:43;06:07:37;20:23:05
06:08:11;20:22:20;06:09:06;20:21:09;06:08:49;20:21:32
06:09:24;20:20:46;06:10:19;20:19:33;06:10:02;20:19:56
06:10:37;20:19:10;06:11:32;20:17:57;06:11:14;20:18:20
06:11:49;20:17:33;06:12:45;20:16:19;06:12:27;20:16:43
06:13:02;20:15:55;06:13:58;20:14:41;06:13:40;20:15:05
06:14:15;20:14:16;06:15:10;20:13:01;06:14:53;20:13:25
06:15:28;20:12:37;06:16:23;20:11:20;06:16:06;20:11:45
06:16:41;20:10:56;06:17:36;20:09:38;06:17:19;20:10:03
06:17:54;20:09:14;06:18:49;20:07:56;06:18:32;20:08:21
06:19:07;20:07:31;06:20:02;20:06:12;06:19:45;20:06:37
06:20:20;20:05:47;06:21:15;20:04:28;06:20:58;20:04:53
06:21:33;20:04:02;06:22:28;20:02:43;06:22:11;20:03:08
06:22:46;20:02:17;06:23:42;20:00:56;06:23:24;20:01:22
06:23:59;20:00:31;06:24:54;19:59:10;06:24:37;19:59:36
06:25:12;19:58:44;06:26:07;19:57:22;06:25:50;19:57:48
06:26:25;19:56:56;06:27:20;19:55:34;06:27:03;19:56:00
06:27:38;19:55:07;06:28:33;19:53:45;06:28:16;19:54:11
06:28:51;19:53:18;06:29:46;19:51:55;06:29:29;19:52:22
06:30:04;19:51:29;06:30:59;19:50:05;06:30:42;19:50:32
06:31:17;19:49:38;06:32:12;19:48:14;06:31:54;19:48:41
06:32:29;19:47:47;06:33:25;19:46:23;06:33:07;19:46:50
06:33:42;19:45:56;06:34:38;19:44:31;06:34:20;19:44:58
06:34:55;19:44:04;06:35:50;19:42:39;06:35:33;19:43:06
06:36:08;19:42:11;06:37:03;19:40:46;06:36:46;19:41:13
06:37:21;19:40:18;06:38:16;19:38:53;06:37:58;19:39:20
06:38:33;19:38:25;06:39:29;19:36:59;06:39:11;19:37:27
06:39:46;19:36:31;06:40:41;19:35:05;06:40:24;19:35:33
06:40:59;19:34:37;06:41:54;19:33:11;06:41:37;19:33:38
06:42:12;19:32:43;06:43:07;19:31:16;06:42:49;19:31:44
06:43:25;19:30:48;06:44:20;19:29:21;06:44:02;19:29:49
06:44:37;19:28:53;06:45:33;19:27:26;06:45:15;19:27:54
06:45:50;19:26:58;06:46:46;19:25:31;06:46:28;19:25:59
06:47:03;19:25:03;06:47:58;19:23:35;06:47:41;19:24:03
06:48:16;19:23:07;06:49:11;19:21:40;06:48:54;19:22:08
06:49:29;19:21:12;06:50:25;19:19:44;06:50:07;19:20:12
06:50:42;19:19:16;06:51:38;19:17:48;06:51:20;19:18:16
06:51:55;19:17:20;06:52:51;19:15:52;06:52:33;19:16:20
06:53:09;19:15:24;06:54:04;19:13:56;06:53:46;19:14:24
06:54:22;19:13:28;06:55:18;19:12:00;06:55:00;19:12:28
06:55:35;19:11:32;06:56:31;19:10:04;06:56:13;19:10:32
06:56:49;19:09:36;06:57:45;19:08:09;06:57:27;19:08:37
06:58:03;19:07:40;06:58:59;19:06:13;06:58:41;19:06:41
06:59:17;19:05:45;07:00:13;19:04:17;06:59:55;19:04:45
07:00:31;19:03:49;07:01:27;19:02:22;07:01:09;19:02:50
07:01:45;19:01:54;07:02:41;19:00:26;07:02:23;19:00:54
07:02:59;18:59:58;07:03:56;18:58:31;07:03:38;18:58:59
07:04:14;18:58:03;07:05:10;18:56:36;07:04:52;18:57:04
07:05:28;18:56:09;07:06:25;18:54:42;07:06:07;18:55:10
07:06:43;18:54:14;07:07:40;18:52:48;07:07:22;18:53:15
07:07:58;18:52:20;07:08:56;18:50:54;07:08:37;18:51:21
07:09:14;18:50:26;07:10:11;18:49:00;07:09:53;18:49:28
07:10:29;18:48:33;07:11:27;18:47:07;07:11:09;18:47:34
07:11:45;18:46:40;07:12:43;18:45:14;07:12:25;18:45:41
07:13:01;18:44:47;07:13:59;18:43:22;07:13:41;18:43:49
07:14:18;18:42:55;07:15:16;18:41:30;07:14:57;18:41:57
07:15:34;18:41:03;07:16:33;18:39:39;07:16:14;18:40:06
07:16:51;18:39:12;07:17:50;18:37:48;07:17:31;18:38:15
07:18:08;18:37:21;07:19:07;18:35:58;07:18:48;18:36:25
07:19:26;18:35:32;07:20:25;18:34:09;07:20:06;18:34:35
07:20:44;18:33:42;07:21:43;18:32:20;07:21:24;18:32:46
07:22:02;18:31:54;07:23:01;18:30:32;07:22:42;18:30:58
07:23:20;18:30:06;07:24:20;18:28:44;07:24:01;18:29:10
07:24:39;18:28:18;07:25:39;18:26:58;07:25:20;18:27:23
07:25:58;18:26:32;07:26:58;18:25:12;07:26:39;18:25:37
07:27:17;18:24:46;07:28:17;18:23:27;07:27:58;18:23:52
07:28:37;18:23:01;07:29:37;18:21:43;07:29:18;18:22:08
07:29:57;18:21:18;07:30:57;18:19:59;07:30:38;18:20:24
07:31:17;18:19:35;07:32:18;18:18:17;07:31:58;18:18:42
07:32:37;18:17:52;07:33:39;18:16:36;07:33:19;18:17:00
07:33:58;18:16:11;07:35:00;18:14:55;07:34:40;18:15:20
07:35:19;18:14:31;07:36:21;18:13:16;07:36:01;18:13:40
07:36:41;18:12:52;07:37:43;18:11:38;07:37:23;18:12:02
07:38:02;18:11:14;07:39:04;18:10:01;07:38:45;18:10:24
07:39:24;18:09:38;07:40:27;18:08:25;07:40:07;18:08:48
06:40:47;17:08:02;07:41:49;18:06:50;07:41:29;18:07:13
06:42:09;17:06:28;07:43:12;18:05:17;07:42:52;18:05:39
06:43:32;17:04:54;07:44:34;18:03:45;07:44:14;18:04:07
06:44:55;17:03:23;07:45:58;18:02:14;07:45:37;18:02:36
06:46:18;17:01:52;07:47:21;18:00:44;06:47:01;17:01:06
06:47:41;17:00:23;06:48:44;16:59:16;06:48:24;16:59:38
06:49:05;16:58:55;06:50:08;16:57:50;06:49:47;16:58:11
06:50:28;16:57:29;06:51:32;16:56:25;06:51:11;16:56:45
06:51:52;16:56:04;06:52:55;16:55:01;06:52:35;16:55:21
06:53:16;16:54:41;06:54:19;16:53:39;06:53:59;16:53:59
06:54:40;16:53:19;06:55:43;16:52:18;06:55:23;16:52:38
06:56:04;16:51:59;06:57:07;16:51:00;06:56:47;16:51:18
06:57:28;16:50:41;06:58:31;16:49:42;06:58:11;16:50:01
06:58:52;16:49:24;06:59:55;16:48:27;06:59:35;16:48:45
07:00:16;16:48:09;07:01:19;16:47:13;07:00:59;16:47:31
07:01:39;16:46:56;07:02:43;16:46:02;07:02:22;16:46:19
07:03:03;16:45:45;07:04:06;16:44:52;07:03:46;16:45:09
07:04:27;16:44:35;07:05:30;16:43:44;07:05:09;16:44:00
07:05:50;16:43:28;07:06:53;16:42:38;07:06:33;16:42:54
07:07:13;16:42:22;07:08:16;16:41:34;07:07:56;16:41:49
07:08:36;16:41:18;07:09:38;16:40:32;07:09:18;16:40:46
07:09:58;16:40:17;07:11:00;16:39:32;07:10:40;16:39:46
07:11:20;16:39:17;07:12:22;16:38:34;07:12:02;16:38:48
07:12:42;16:38:20;07:13:44;16:37:38;07:13:24;16:37:51
07:14:03;16:37:25;07:15:04;16:36:44;07:14:45;16:36:57
07:15:24;16:36:32;07:16:25;16:35:53;07:16:05;16:36:05
07:16:44;16:35:41;07:17:44;16:35:04;07:17:25;16:35:16
07:18:03;16:34:53;07:19:03;16:34:17;07:18:44;16:34:28
07:19:22;16:34:06;07:20:21;16:33:33;07:20:02;16:33:43
07:20:40;16:33:23;07:21:38;16:32:51;07:21:20;16:33:01
07:21:57;16:32:41;07:22:55;16:32:11;07:22:36;16:32:21
07:23:13;16:32:02;07:24:10;16:31:34;07:23:52;16:31:43
07:24:29;16:31:26;07:25:25;16:30:59;07:25:07;16:31:08
07:25:43;16:30:51;07:26:38;16:30:27;07:26:20;16:30:35
07:26:56;16:30:20;07:27:51;16:29:58;07:27:33;16:30:04
07:28:08;16:29:51;07:29:02;16:29:30;07:28:44;16:29:37
07:29:19;16:29:24;07:30:12;16:29:06;07:29:55;16:29:12
07:30:28;16:29:00;07:31:20;16:28:44;07:31:04;16:28:49
07:31:37;16:28:39;07:32:27;16:28:25;07:32:11;16:28:29
07:32:44;16:28:20;07:33:33;16:28:08;07:33:17;16:28:12
07:33:49;16:28:04;07:34:37;16:27:54;07:34:22;16:27:57
07:34:53;16:27:51;07:35:40;16:27:43;07:35:25;16:27:45
07:35:55;16:27:40;07:36:41;16:27:34;07:36:26;16:27:36
07:36:56;16:27:32;07:37:40;16:27:28;07:37:26;16:27:29
07:37:55;16:27:27;07:38:38;16:27:25;07:38:24;16:27:25
07:38:52;16:27:24;07:39:33;16:27:24;07:39:20;16:27:24
07:39:47;16:27:24;07:40:27;16:27:26;07:40:14;16:27:25
07:40:40;16:27:27;07:41:19;16:27:31;07:41:07;16:27:30
07:41:32;16:27:33;07:42:09;16:27:39;07:41:57;16:27:36
07:42:21;16:27:41;07:42:57;16:27:49;07:42:45;16:27:46
07:43:08;16:27:52;07:43:42;16:28:02;07:43:31;16:27:58
07:43:53;16:28:05;07:44:26;16:28:17;07:44:15;16:28:13
07:44:36;16:28:22;07:45:07;16:28:35;07:44:57;16:28:31
07:45:17;16:28:40;07:45:46;16:28:56;07:45:37;16:28:51
07:45:56;16:29:02;07:46:23;16:29:20;07:46:14;16:29:14
07:46:32;16:29:26;07:46:57;16:29:46;07:46:49;16:29:39
07:47:05;16:29:53;07:47:29;16:30:14;07:47:22;16:30:07
07:47:37;16:30:22;07:47:59;16:30:45;07:47:52;16:30:38
07:48:06;16:30:53;07:48:26;16:31:19;07:48:19;16:31:11
07:48:32;16:31:28;07:48:50;16:31:55;07:48:44;16:31:46
07:48:56;16:32:04;07:49:12;16:32:33;07:49:07;16:32:24
07:49:17;16:32:43;07:49:32;16:33:14;07:49:27;16:33:04
07:49:36;16:33:25;07:49:49;16:33:57;07:49:45;16:33:47
07:49:53;16:34:08;07:50:03;16:34:43;07:50:00;16:34:31
07:50:06;16:34:54;07:50:15;16:35:30;07:50:12;16:35:18
07:50:17;16:35:42;07:50:24;16:36:20;07:50:22;16:36:08
07:50:26;16:36:32;07:50:30;16:37:12;07:50:29;16:36:59
07:50:31;16:37:25;NA;NA;NA;NA
